"Scientific Name","Common Name","Where Listed","ESA Listing Status  ","Lead Region  ","Listing Date","Most Recently Completed 5YSR","5YSR Recommendation","Notice of In Progress 5YSR","Notice Date of In Progress 5YSR","Group"
"Zosterops conspicillatus conspicillatus","White-eye, bridled","<div>Wherever found</div>","E","1","1984","2019/12/18","Delist: The species is extinct","Removal of 23 Extinct  Species From the Lists of Endangered and Threatened Wildlife and  Plants; Proposed Rule","2021/09/30","Birds"
"Argyroxiphium sandwicense ssp. sandwicense","`Ahinahina","<div>Wherever found</div>","E","1","1986","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dodecahema leptoceras","Spineflower, slender-horned","<div>Wherever found</div>","E","8","1987","2022/09/07","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Chorizanthe pungens var. pungens","Spineflower, Monterey","<div>Wherever found</div>","T","8","1994","2020/04/01","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Chorizanthe pungens var. hartwegiana","Spineflower, Ben Lomond","<div>Wherever found</div>","E","8","1994","2022/02/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Sanicula mariversa","No common name","<div>Wherever found</div>","E","1","1991","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Xyrauchen texanus","Sucker, razorback","<div>Wherever found</div>","E","6","1991","2018/09/25","Downlist to T","Endangered and Threatened Wildlife and Plants; Reclassification of the Razorback Sucker From Endangered to Threatened With a Section 4(d) Rule","2021/07/07","Fishes"
"Penstemon debilis","beardtongue, Parachute","<div>Wherever found</div>","T","6","2011","2019/08/28","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Flowering Plants"
"Elaphoglossum serpens","No common name","<div>Wherever found</div>","E","4","1993","2022/08/01","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Dendrobium guamense","No common name","<div>Wherever found</div>","T","1","2015","2020/09/29","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Swallenia alexandrae","Grass, Eureka Dune","<div></div>","T","8","1978","2018/02/27","Downlist to T","No Five Year Review In Progress","","Flowering Plants"
"Hibiscadelphus hualalaiensis","Hau kuahiwi","<div>Wherever found</div>","E","1","1996","2020/09/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Grus americana","Crane, whooping","<div>Wherever found, except where listed as an experimental population</div>","E","2","1967","2012/02/13","No change in Status","Initiation of 5- Year Status Reviews of 23 Species in the Southwest; request for information","2021/05/05","Birds"
"Eugenia woodburyana","No common name","<div>Wherever found</div>","T","4","1994","2022/12/02","Downlist to T","No Five Year Review In Progress","","Flowering Plants"
"Epioblasma torulosa gubernaculum","Blossom, green (pearlymussel)","<div>Wherever found</div>","E","4","1976","2017/09/01","Delist: The species is extinct","Removal of 23 Extinct  Species From the Lists of Endangered and Threatened Wildlife and  Plants; Proposed Rule","2021/09/30","Clams"
"Quadrula fragosa","Mapleleaf, winged","<div>Wherever found, except where listed as an experimental population</div>","E","3","1991","2015/05/15","No change in Status","Year Status Reviews of Six Listed Animal and Plant Species; request for information","2021/11/05","Clams"
"Lobelia monostachya","No common name","<div>Wherever found</div>","E","1","1996","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Calamagrostis hillebrandii","Reedgrass, Hillebrand's","<div>Wherever found</div>","E","1","2013","2021/07/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lepidochelys olivacea","Sea turtle, olive ridley","<div>Breeding colony populations on Pacific coast of Mexico</div>","E","4","1978","2014/06/18","No change in Status","No Five Year Review In Progress","","Reptiles"
"Palaemonetes cummingi","Shrimp, Squirrel Chimney Cave","<div>Wherever found</div>","T","4","1990","2021/10/05","No change in Status","No Five Year Review In Progress","","Crustaceans"
"Hesperomannia arbuscula","No common name","<div>Wherever found</div>","E","1","1991","2020/09/29","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Asclepias welshii","Milkweed, Welsh's","<div>Wherever found</div>","T","6","1987","2021/08/25","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lupinus aridorum","Lupine, scrub","<div></div>","E","4","1987","2022/07/14","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Eryngium cuneifolium","Snakeroot","<div></div>","E","4","1987","2021/06/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Euphorbia haeleeleana","`Akoko","<div>Wherever found</div>","E","1","1996","2021/08/25","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Peucedanum sandwicense","Makou","<div>Wherever found</div>","T","1","1994","2021/09/28","Uplist to E","No Five Year Review In Progress","","Flowering Plants"
"Cyanea crispa","haha","<div>Wherever found</div>","E","1","1994","2019/09/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Huperzia mannii","Wawae`iole","<div>Wherever found</div>","E","1","1992","2020/09/30","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Phyllostegia waimeae","No common name","<div>Wherever found</div>","E","1","1994","2022/08/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Abronia macrocarpa","Sand-verbena, large-fruited","<div>Wherever found</div>","E","2","1988","2022/08/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Blennosperma bakeri","Sunshine, Sonoma","<div>Wherever found</div>","E","8","1991","2019/05/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dubautia plantaginea ssp. magnifolia","Na`ena`e","<div>Wherever found</div>","E","1","2010","2022/07/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Scutellaria montana","Skullcap, large-flowered","<div>Wherever found</div>","T","4","1986","2015/01/08","No change in Status","Initiation of 5- Year Status Reviews for 25 Southeastern Species; Request for Information","2020/03/25","Flowering Plants"
"Setophaga chrysoparia","Warbler, golden-cheeked","<div>Wherever found</div>","E","2","1990","2014/08/26","No change in Status","Initiation of 5- Year Status Reviews of 23 Species in the Southwest; request for information","2021/05/05","Birds"
"Polygyriscus virginianus","Snail, Virginia fringed mountain","<div>Wherever found</div>","E","5","1978","2021/03/16","No change in Status","No Five Year Review In Progress","","Snails"
"Brachylagus idahoensis","Rabbit, Pygmy","<div>Columbia Basin DPS</div>","E","1","2001","2019/05/15","No change in Status","No Five Year Review In Progress","","Mammals"
"Gila ditaenia","Chub, Sonora","<div>Wherever found</div>","T","2","1986","2022/08/24","No change in Status","No Five Year Review In Progress","","Fishes"
"Cyanea dunbariae","haha","<div>Wherever found</div>","E","1","1996","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Thymophylla tephroleuca","Dogweed, ashy","<div>Wherever found</div>","E","2","1984","2022/08/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schiedea adamantis","Schiedea, Diamond Head","<div>Wherever found</div>","E","1","1984","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Pseudemys alabamensis","Turtle, Alabama red-bellied","<div>Wherever found</div>","E","4","1987","2021/07/26","No change in Status","No Five Year Review In Progress","","Reptiles"
"Malacothamnus clementinus","Bush-mallow, San Clemente Island","<div>Wherever found</div>","DM","8","1977","2023/01/25","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Flowering Plants"
"Clarkia franciscana","Clarkia, Presidio","<div>Wherever found</div>","E","8","1995","2010/11/19","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Megalagrion nigrohamatum nigrolineatum","Damselfly, blackline Hawaiian","<div>Wherever found</div>","E","1","2012","2019/08/05","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Insects"
"Eleutherodactylus jasperi","Coqui, golden","<div>Wherever found</div>","T","4","1977","2022/04/14","Delist: The species is extinct","No Five Year Review In Progress","","Amphibians"
"Berberis pinnata ssp. insularis","Barberry, island","<div>Wherever found</div>","E","8","1997","2022/05/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Fusconaia cor","Pigtoe, shiny","<div>Wherever found; Except where listed as Experimental Populations</div>","E","4","1976","2021/08/25","No change in Status","No Five Year Review In Progress","","Clams"
"Spermolepis hawaiiensis","No common name","<div>Wherever found</div>","E","1","1994","2021/09/16","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Noturus crypticus","Madtom, chucky","<div>Wherever found</div>","E","4","2011","2019/08/15","No change in Status","No Five Year Review In Progress","","Fishes"
"Catostomus santaanae","Sucker, Santa Ana","<div>3 CA river basins</div>","T","8","2000","2011/03/10","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Fishes"
"Drosophila aglaia","fly, Hawaiian picture-wing","<div>Wherever found</div>","E","1","2006","2019/07/15","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Insects"
"Nicrophorus americanus","Beetle, American burying","<div>Wherever found, except where listed as an experimental population</div>","T","2","1989","2020/10/15","Downlist to T","No Five Year Review In Progress","","Insects"
"Erysimum menziesii","Wallflower, Menzies'","<div>Wherever found</div>","E","8","1992","2020/08/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Etheostoma wapiti","Darter, boulder","<div>Wherever found</div>","E","4","1988","2017/10/04","No change in Status","Initiation of 5- Year Status Reviews for 35 Southeastern Species; Request for Information","2022/05/13","Fishes"
"Pyrgulopsis trivialis","Springsnail, Three Forks","<div>Wherever found</div>","E","2","2012","2022/08/31","No change in Status","No Five Year Review In Progress","","Snails"
"Cyanea kunthiana","Haha","<div>Wherever found</div>","E","1","2013","2020/09/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Melicope makahae","Alani","<div>Wherever found</div>","E","1","2012","2019/08/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Centaurium namophilum","Centaury, spring-loving","<div>Wherever found</div>","T","8","1985","2020/10/06","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Grindelia fraxinipratensis","Gumplant, Ash Meadows","<div>Wherever found</div>","T","8","1985","2020/10/06","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Obovaria retusa","Ring pink (mussel)","<div>Wherever found</div>","E","4","1989","2019/09/27","No change in Status","No Five Year Review In Progress","","Clams"
"Peperomia subpetiolata","`Ala `ala wai nui","<div>Wherever found</div>","E","1","2013","2020/08/19","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Melicope zahlbruckneri","Alani","<div>Wherever found</div>","E","1","1996","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Charadrius melodus","Plover, piping","<div>[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.</div>","T","5","1985","2020/03/26","No change in Status","No Five Year Review In Progress","","Birds"
"Bidens conjuncta","Ko`oko`olau","<div>Wherever found</div>","E","1","2013","2020/03/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Phacelia submutica","Phacelia, DeBeque","<div>Wherever found</div>","T","6","2011","2022/08/26","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Isodendrion pyrifolium","Kula wahine noho","<div>Wherever found</div>","E","1","1994","2021/09/14","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Batrisodes venyivi","Beetle, Helotes mold","<div>Wherever found</div>","E","2","2000","2020/08/26","No change in Status","No Five Year Review In Progress","","Insects"
"Pritchardia schattaueri","loulu","<div>Wherever found</div>","E","1","1996","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Calystegia stebbinsii","Morning-glory, Stebbins'","<div>Wherever found</div>","E","8","1996","2019/05/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea pinnatifida","Haha","<div>Wherever found</div>","E","1","1991","2019/09/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Villosa trabalis","Bean, Cumberland (pearlymussel)","<div>Wherever found; Except where listed as Experimental Populations</div>","E","4","1976","2020/03/05","No change in Status","No Five Year Review In Progress","","Clams"
"Tryonia alamosae","Springsnail, Alamosa","<div>Wherever found</div>","E","2","1991","2018/07/26","No change in Status","No Five Year Review In Progress","","Snails"
"Hamiota australis","Sandshell, Southern","<div>Wherever found</div>","T","4","2012","2022/09/13","No change in Status","No Five Year Review In Progress","","Clams"
"Eua zebrina","[no common name] Snail","<div>Wherever found</div>","E","1","2016","2021/07/01","No change in Status","No Five Year Review In Progress","","Snails"
"Hesperomannia lydgatei","No common name","<div>Wherever found</div>","E","1","1991","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Elaphrus viridis","Beetle, delta green ground","<div>Wherever found</div>","T","8","1980","2021/03/23","No change in Status","No Five Year Review In Progress","","Insects"
"Cyanea shipmanii","Haha","<div>Wherever found</div>","E","1","1994","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Ameiva polops","Lizard, St. Croix ground","<div>Wherever found</div>","E","4","1977","2019/09/16","No change in Status","No Five Year Review In Progress","","Reptiles"
"Polygonella basiramia","Wireweed","<div></div>","E","4","1987","2021/07/01","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Rhinichthys osculus oligoporus","Dace, Clover Valley speckled","<div>Wherever found</div>","E","8","1989","2022/08/17","No change in Status","No Five Year Review In Progress","","Fishes"
"Pleodendron macranthum","Chupacallos","<div>Wherever found</div>","E","4","1994","2022/09/07","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Gopherus agassizii","Tortoise, desert","<div>Wherever found, except AZ south and east of Colorado R., and Mexico</div>","T","8","1990","2022/05/20","No change in Status","No Five Year Review In Progress","","Reptiles"
"Lysimachia lydgatei","No common name","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Remya mauiensis","Remya, Maui","<div>Wherever found</div>","E","1","1991","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Lilium occidentale","Lily, Western","<div>Wherever found</div>","E","8","1994","2019/07/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dipodomys heermanni morroensis","Kangaroo rat, Morro Bay","<div>Wherever found</div>","E","8","1970","2021/07/08","No change in Status","No Five Year Review In Progress","","Mammals"
"Lipochaeta waimeaensis","nehe","<div>Wherever found</div>","E","1","1994","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Phyllostegia racemosa","Kiponapona","<div>Wherever found</div>","E","1","1996","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Clermontia lindseyana","`Oha wai","<div>Wherever found</div>","E","1","1994","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Reginaia rotulata","Ebonyshell, round","<div>Wherever found</div>","E","4","2012","2022/09/13","No change in Status","No Five Year Review In Progress","","Clams"
"Melamprosops phaeosoma","Po`ouli (honeycreeper)","<div>Wherever found</div>","E","1","1975","2018/07/30","Delist: The species is extinct","Removal of 23 Extinct  Species From the Lists of Endangered and Threatened Wildlife and  Plants; Proposed Rule","2021/09/30","Birds"
"Lilaeopsis schaffneriana var. recurva","Water-umbel, Huachuca","<div>Wherever found</div>","E","2","1997","2018/07/18","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Vulpes macrotis mutica","Fox, San Joaquin kit","<div>wherever found</div>","E","8","1967","2020/09/28","No change in Status","No Five Year Review In Progress","","Mammals"
"Ceanothus roderickii","Ceanothus, Pine Hill","<div>Wherever found</div>","E","8","1996","2019/05/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Drosophila montgomeryi","picture-wing fly, Hawaiian","<div>Wherever found</div>","E","1","2006","2019/05/20","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Insects"
"Phyllostegia mannii","No common name","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Rhinichthys osculus thermalis","Dace, Kendall Warm Springs","<div>Wherever found</div>","E","6","1970","2022/08/24","No change in Status","No Five Year Review In Progress","","Fishes"
"Alectryon macrococcus","Mahoe","<div>Wherever found</div>","E","1","1992","2021/08/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Marstonia ogmorhaphe","Marstonia, royal (snail)","<div>Wherever found</div>","E","4","1994","2020/03/30","No change in Status","No Five Year Review In Progress","","Snails"
"Pteropus mariannus mariannus","Bat, Mariana fruit (=Mariana flying fox)","<div>Wherever found</div>","T","1","1984","2020/12/02","No change in Status","No Five Year Review In Progress","","Mammals"
"Chrosomus saylori","dace, Laurel","<div>Wherever found</div>","E","4","2011","2021/03/10","No change in Status","No Five Year Review In Progress","","Fishes"
"Euphorbia telephioides","Spurge, telephus","<div></div>","T","4","1992","2021/07/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cirsium loncholepis","Thistle, La Graciosa","<div>Wherever found</div>","E","8","2000","2019/04/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pediocactus peeblesianus ssp. peeblesianus","Cactus, Peebles Navajo","<div>Wherever found</div>","E","2","1979","2022/09/01","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Isoetes louisianensis","Quillwort, Louisiana","<div>Wherever found</div>","E","4","1992","2019/08/01","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Ambrysus amargosus","Naucorid, Ash Meadows","<div>Wherever found</div>","T","8","1985","2020/09/30","No change in Status","No Five Year Review In Progress","","Insects"
"Lipochaeta lobata var. leptophylla","nehe","<div>Wherever found</div>","E","1","1991","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Cenchrus agrimonioides","Kamanomano","<div>Wherever found</div>","E","1","1996","2021/08/31","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Thysanocarpus conchuliferus","Fringepod, Santa Cruz Island","<div>Wherever found</div>","E","8","1997","2021/12/21","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Emoia slevini","skink, Slevin's","<div>Wherever found</div>","E","1","2015","2020/08/26","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Reptiles"
"Labordia tinifolia var. lanaiensis","Kamakahala","<div>Wherever found</div>","E","1","1999","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Etheostoma phytophilum","Darter, rush","<div>Wherever found</div>","E","4","2011","2019/10/21","No change in Status","No Five Year Review In Progress","","Fishes"
"Lasmigona decorata","Heelsplitter, Carolina","<div>Wherever found</div>","E","4","1993","2019/05/21","No change in Status","No Five Year Review In Progress","","Clams"
"Spiraea virginiana","Spiraea, Virginia","<div>Wherever found</div>","T","5","1990","2021/12/20","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Sidalcea keckii","Checker-mallow, Keck's","<div>Wherever found</div>","E","8","2000","2020/07/21","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lampsilis abrupta","Mucket, pink (pearlymussel)","<div>Wherever found</div>","E","3","1976","2019/07/23","No change in Status","No Five Year Review In Progress","","Clams"
"Pyrgulopsis bruneauensis","Springsnail, Bruneau Hot","<div>Wherever found</div>","E","1","1993","2018/09/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Snails"
"Dudleya cymosa ssp. ovatifolia","Dudleya, Santa Monica Mountains","<div>Wherever found</div>","T","8","1997","2021/08/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Sclerocactus wetlandicus","cactus, Uinta Basin hookless","<div>Wherever found</div>","T","6","2009","2020/08/11","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Flowering Plants"
"Suaeda californica","Seablite, California","<div></div>","E","8","1994","2010/02/09","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/5832'>Initiation of 5-Year Status Reviews of 40 Species in California Nevada and Oregon; request for information</a","2022/02/02","Flowering Plants"
"Helianthemum greenei","Rush-rose, island","<div>Wherever found</div>","T","8","1997","2019/05/07","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Neonympha mitchellii mitchellii","Butterfly, Mitchell's satyr","<div>Wherever found</div>","E","3","1991","2021/03/02","No change in Status","No Five Year Review In Progress","","Insects"
"Acanthomintha ilicifolia","Thornmint, San Diego","<div>Wherever found</div>","T","8","1998","2022/08/31","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Sicyos lanceoloideus","No common name","<div>Wherever found</div>","E","1","2016","2021/08/24","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schoenocrambe argillacea","Reed-mustard, clay","<div>Wherever found</div>","T","6","1992","2019/08/07","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Flowering Plants"
"Hoffmannseggia tenella","Rush-pea, slender","<div>Wherever found</div>","E","2","1985","2022/08/04","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Crotalus willardi obscurus","Rattlesnake, New Mexican ridge-nosed","<div>Wherever found</div>","T","2","1978","2019/09/19","No change in Status","No Five Year Review In Progress","","Reptiles"
"Megalagrion pacificum","Damselfly, Pacific Hawaiian","<div>Wherever found</div>","E","1","2010","2018/09/27","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Insects"
"Zosterops rotensis","White-eye, Rota bridled","<div>Wherever found</div>","E","1","2004","2020/08/28","No change in Status","No Five Year Review In Progress","","Birds"
"Betula uber","Birch, Virginia round-leaf","<div>Wherever found</div>","T","5","1978","2020/08/26","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Styrax portoricensis","Palo de jazmin","<div>Wherever found</div>","E","4","1992","2021/06/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Rostrhamus sociabilis plumbeus","Kite, Everglade snail","<div>Wherever found</div>","E","4","1967","2007/09/27","No change in Status","Initiation of 5- Year Status Reviews for 36 Southeastern Species","2019/04/11","Birds"
"Lesquerella tumulosa","Bladderpod, kodachrome","<div>Wherever found</div>","E","6","1993","2021/08/17","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Batrachoseps aridus","Salamander, desert slender","<div>Wherever found</div>","E","8","1973","2020/05/21","No change in Status","No Five Year Review In Progress","","Amphibians"
"Ternstroemia luquillensis","Palo colorado","<div>Wherever found</div>","E","4","1992","2021/06/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Eryngium aristulatum var. parishii","Button-celery, San Diego","<div>Wherever found</div>","E","8","1993","2010/09/01","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Flowering Plants"
"Silene alexandri","No common name","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Trichostema austromontanum ssp. compactum","Bluecurls, Hidden Lake","<div>Wherever found</div>","DM","8","1998","2013/05/31","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Flowering Plants"
"Wilkesia hobdyi","Iliau, dwarf","<div>Wherever found</div>","E","1","1992","2022/08/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Hybognathus amarus","Minnow, Rio Grande Silvery","<div>Wherever found, except where listed as an experimental population</div>","E","2","1994","2018/07/26","No change in Status","No Five Year Review In Progress","","Fishes"
"Astragalus applegatei","Milk-vetch, Applegate's","<div>Wherever found</div>","E","8","1993","2019/08/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dubautia pauciflorula","Na`ena`e","<div>Wherever found</div>","E","1","1991","2022/07/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dubautia latifolia","Koholapehu","<div>Wherever found</div>","E","1","1992","2022/07/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea solanacea","Popolo","<div>Wherever found</div>","E","1","2013","2020/08/19","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Solanum sandwicense","`Aiakeakua, popolo","<div>Wherever found</div>","E","1","1994","2021/09/16","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Psychotria hexandra ssp. oahuensis","Kopiko","<div>Wherever found</div>","E","1","2012","2019/08/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
